,Pt,Time,Freq,Zreal,Zimag,Zsig,Zmod,Zphz,Idc,Vdc,IERange,Date,Site
1374,32,18:24:03,63.3446,12971.7,-18067.73,1,22242.03,-54.32361,7.702354E-009,-1.869566E-005,6,2024-04-24,E08
1375,33,18:24:03,49.86702,14017.07,-21775.94,1,25897.29,-57.23081,7.657345E-009,-2.152207E-005,6,2024-04-24,E08
1376,34,18:24:03,39.72458,15136.32,-26104.52,1,30175.39,-59.89333,7.58023E-009,-2.153763E-005,6,2024-04-24,E08
1377,35,18:24:03,31.6723,16371.55,-31355.2,1,35371.97,-62.4295,7.65516E-009,-1.785317E-005,6,2024-04-24,E08
1378,36,18:24:03,24.93351,17839.88,-38201.04,1,42161.36,-64.96743,7.696136E-009,-1.769071E-005,6,2024-04-24,E08
1379,37,18:24:03,19.86229,19355.57,-46212,1,50101.77,-67.27397,6.018596E-009,3.858606E-005,5,2024-04-24,E08
1380,38,18:24:03,15.83615,21162.27,-56105.39,1,59963.79,-69.33414,6.114474E-009,4.04263E-005,5,2024-04-24,E08
1381,39,18:24:03,12.40079,23501.61,-69437.51,1,73306.84,-71.30125,6.18246E-009,3.942008E-005,5,2024-04-24,E08
1382,40,18:24:03,9.93114,26120.63,-84454.05,1,88401.21,-72.81379,6.304024E-009,3.982297E-005,5,2024-04-24,E08
1383,41,18:24:03,7.944915,29351.12,-102997.3,1,107097.8,-74.09406,6.315309E-009,3.723137E-005,5,2024-04-24,E08
1384,42,18:24:03,6.317385,33563.7,-126400.4,1,130780.6,-75.12914,6.356514E-009,3.754254E-005,5,2024-04-24,E08
1385,43,18:24:03,5.008013,38952.47,-155587.6,1,160389.5,-75.9445,6.358855E-009,3.888981E-005,5,2024-04-24,E08
1386,44,18:24:03,3.945707,46046.15,-192531.7,1,197961.4,-76.54971,6.344281E-009,4.211559E-005,5,2024-04-24,E08
1387,45,18:24:03,3.158693,54476.83,-234798.4,1,241035.3,-76.93761,6.334683E-009,3.981952E-005,5,2024-04-24,E08
1388,46,18:24:03,2.504006,65927.18,-289160.5,1,296580.8,-77.15638,6.327834E-009,4.145176E-005,5,2024-04-24,E08
1389,47,18:24:03,1.998082,79760.52,-353250.7,1,362143.4,-77.27654,6.324949E-009,4.223508E-005,5,2024-04-24,E08
1390,48,18:24:03,1.584686,97817.3,-433766.9,1,444659.4,-77.29199,6.309046E-009,4.083378E-005,5,2024-04-24,E08
1391,49,18:24:03,1.266892,120359.2,-528696.9,1,542223.9,-77.17504,6.17166E-009,1.60858E-005,4,2024-04-24,E08
1392,50,18:24:03,0.999041,151484.4,-652407.4,1,669763.4,-76.92796,6.142264E-009,1.546276E-005,4,2024-04-24,E08
1393,51,18:24:03,0.7923428,192176.1,-800640.4,1,823381.3,-76.50275,6.106176E-009,1.601246E-005,4,2024-04-24,E08
1394,52,18:24:03,0.6334459,245035.3,-974721,1,1005049,-75.88881,6.083848E-009,1.575414E-005,4,2024-04-24,E08
1395,53,18:24:03,0.5040323,318772.7,-1189270,1,1231251,-74.99511,6.054421E-009,1.598941E-005,4,2024-04-24,E08
1396,54,18:24:03,0.400641,420289.4,-1447362,1,1507149,-73.80759,6.01581E-009,1.98369E-005,4,2024-04-24,E08
1397,55,18:24:03,0.316723,563466.6,-1760385,1,1848364,-72.25109,5.970393E-009,2.211329E-005,4,2024-04-24,E08
1398,56,18:24:03,0.2520161,752804.9,-2114892,1,2244880,-70.4066,5.921241E-009,2.551152E-005,4,2024-04-24,E08
1399,57,18:24:03,0.2003205,1007181,-2518535,1,2712458,-68.20315,5.865154E-009,2.407441E-005,4,2024-04-24,E08
1400,58,18:24:03,0.1588983,1342987,-2971168,1,3260591,-65.67673,5.809576E-009,2.748776E-005,4,2024-04-24,E08
